delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,24,205
2,2,Delivered,22,118
3,3,Delivered,60,265
4,4,Out for Delivery,14,299
5,5,Delivered,54,17
6,6,Delivered,21,36
7,7,Delivered,70,164
8,8,Delivered,60,28
9,9,Delivered,73,16
10,10,Delivered,28,281
11,11,Delivered,38,271
12,12,Delivered,41,48
13,13,Cancelled,0,204
14,14,Delivered,65,246
15,15,Delivered,43,80
16,16,Delivered,50,239
17,17,Out for Delivery,36,39
18,18,Delivered,49,279
19,19,Delivered,59,57
20,20,Delivered,47,116
21,21,Delivered,41,260
22,22,Delivered,48,141
23,23,Delivered,29,55
24,24,Cancelled,0,182
25,25,Delivered,24,172
26,26,Delivered,49,208
27,27,Delivered,31,197
28,28,Delivered,39,183
29,29,Delivered,69,105
30,30,Delivered,73,59
31,31,Delivered,57,128
32,32,Delivered,59,161
33,33,Delivered,24,146
34,34,Delivered,71,60
35,35,Delivered,43,287
36,36,Out for Delivery,15,188
37,37,Delivered,53,292
38,38,Delivered,60,299
39,39,Delivered,73,88
40,40,Delivered,66,278
41,41,Delivered,32,34
42,42,Delivered,45,52
43,43,Delivered,67,173
44,44,Delivered,31,293
45,45,Delivered,20,95
46,46,Delivered,75,155
47,47,Delivered,45,295
48,48,Delivered,62,12
49,49,Delivered,53,18
50,50,Delivered,32,121
51,51,Delivered,43,44
52,52,Delivered,24,201
53,53,Delivered,48,92
54,54,Delivered,28,196
55,55,Delivered,54,144
56,56,Delivered,66,242
57,57,Delivered,44,77
58,58,Delivered,70,197
59,59,Delivered,62,160
60,60,Delivered,44,68
61,61,Delivered,44,21
62,62,Out for Delivery,13,28
63,63,Delivered,32,62
64,64,Delivered,44,164
65,65,Delivered,37,262
66,66,Delivered,40,30
67,67,Delivered,45,127
68,68,Delivered,37,200
69,69,Delivered,51,157
70,70,Delivered,38,285
71,71,Delivered,22,124
72,72,Delivered,20,169
73,73,Delivered,75,201
74,74,Delivered,37,30
75,75,Delivered,58,269
76,76,Delivered,51,32
77,77,Delivered,65,170
78,78,Delivered,38,224
79,79,Delivered,55,7
80,80,Delivered,74,39
81,81,Out for Delivery,14,106
82,82,Out for Delivery,10,191
83,83,Delivered,38,87
84,84,Delivered,63,1
85,85,Cancelled,0,10
86,86,Cancelled,0,283
87,87,Delivered,67,204
88,88,Delivered,25,118
89,89,Delivered,68,280
90,90,Delivered,27,189
91,91,Delivered,67,8
92,92,Delivered,46,76
93,93,Delivered,33,30
94,94,Delivered,41,80
95,95,Delivered,65,255
96,96,Delivered,36,200
97,97,Delivered,60,81
98,98,Delivered,38,61
99,99,Delivered,31,169
100,100,Delivered,34,153
101,101,Cancelled,0,152
102,102,Delivered,41,184
103,103,Delivered,57,43
104,104,Delivered,51,244
105,105,Delivered,54,139
106,106,Delivered,57,123
107,107,Delivered,59,213
108,108,Delivered,50,218
109,109,Delivered,53,222
110,110,Delivered,31,291
111,111,Cancelled,0,46
112,112,Delivered,35,222
113,113,Delivered,29,65
114,114,Delivered,70,33
115,115,Delivered,70,218
116,116,Delivered,22,165
117,117,Cancelled,0,36
118,118,Delivered,32,168
